,paper_id,citing_paper_id,title,result_id,link,snippet,resources_title,resources_link,citation_count,cites_id,versions,cluster_id,full_citation,key_words,authors,pub_info,year
17,17,1,Planning zero-emissions ports through the nearly zero energy port concept,3lJSfyrddu4J,https://www.sciencedirect.com/science/article/pii/S0959652620354949,"This research work attempts to review and compare the available scientific literature, to identify several crucial research opportunities, and to achieve the challenge of putting the findings together to achieve the prospect of nearly Zero Energy Ports. High energy demand …",no data,no data,10,17183164602873172702,3,17183164602873172702,"Sifakis, Nikolaos, and Theocharis Tsoutsos. ""Planning zero-emissions ports through the nearly zero energy port concept."" Journal of Cleaner Production (2020): 125448.","['planning', 'zeroemissions', 'ports', 'nearly', 'zero', 'energy', 'port', 'concept']","Sifakis, Nikolaos, and Theocharis Tsoutsos.",Journal of Cleaner Production (2020): 125448.,2020
18,18,1,Can digitalization mitigate barriers to intermodal transport? An exploratory study,kXzeKKdP-P8J,https://www.sciencedirect.com/science/article/pii/S2210539519302585,"Although it offers 1 both economic and environmental advantages particularly for long-distances, intermodal transport is still not utilized effectively, and it is challenged by many barriers to its utilization. On the other hand, the transport sector is influenced by recent …",no data,no data,10,18444579853259668625,5,18444579853259668625,"Vural, Ceren Altuntaş, et al. ""Can digitalization mitigate barriers to intermodal transport? An exploratory study."" Research in Transportation Business & Management 37 (2020): 100525.","['digitalization', 'mitigate', 'barriers', 'intermodal', 'transport', 'exploratory', 'study']","Vural, Ceren Altuntaş, et al.",Research in Transportation Business & Management 37 (2020): 100525.,2020
19,19,1,Are current port liability provisions in international maritime law adequate in an era of automation?,yC7jZBejgBgJ,https://www.tandfonline.com/doi/abs/10.1080/18366503.2016.1217379,"Automation is changing the traditional ports as we know it. The introduction of podded drive propulsion systems, self-unloading bulk carriers, and increasing use of automation in port operations are indicative of a technological paradigm shift in which the human element …",no data,no data,4,1765590374801419976,3,1765590374801419976,"Okorie, Isaiah. ""Are current port liability provisions in international maritime law adequate in an era of automation?."" Australian Journal of Maritime & Ocean Affairs 8.2 (2016): 147-160.","['current', 'port', 'liability', 'provisions', 'international', 'maritime', 'law', 'adequate', 'automation']","Okorie, Isaiah.",Australian Journal of Maritime & Ocean Affairs 8.2 (2016): 147-160.,2016
20,20,2,Optimisation for job scheduling at automated container terminals using genetic algorithm,95-Q-RlUVrQJ,https://www.sciencedirect.com/science/article/pii/S0360835212002112,This paper presents a genetic algorithm (GA)-based optimisation approach to improve container handling operations at the Patrick AutoStrad container terminal located in Brisbane Australia. In this paper we focus on scheduling for container transfers and encode …,no data,no data,63,12994666245362065399,6,12994666245362065399,"Skinner, Bradley, et al. ""Optimisation for job scheduling at automated container terminals using genetic algorithm."" Computers & Industrial Engineering 64.1 (2013): 511-523.","['optimisation', 'job', 'scheduling', 'automated', 'container', 'terminals', 'using', 'genetic', 'algorithm']","Skinner, Bradley, et al.",Computers & Industrial Engineering 64.1 (2013): 511-523.,2013
21,21,2,Rescheduling policies for large-scale task allocation of autonomous straddle carriers under uncertainty at automated container terminals,3461kH8n1r0J,https://www.sciencedirect.com/science/article/pii/S0921889013002352,This paper investigates replanning strategies for container-transportation task allocation of autonomous Straddle Carriers (SC) at automated container terminals. The strategies address the problem of large-scale scheduling in the context of uncertainty (especially …,uts.edu.au,https://opus.lib.uts.edu.au/bitstream/10453/37190/4/ras_cbh20131208.pdf,34,13679164347026607839,6,13679164347026607839,"Cai, Binghuang, et al. ""Rescheduling policies for large-scale task allocation of autonomous straddle carriers under uncertainty at automated container terminals."" Robotics and Autonomous Systems 62.4 (2014): 506-514.","['rescheduling', 'policies', 'largescale', 'task', 'allocation', 'autonomous', 'straddle', 'carriers', 'uncertainty', 'automated', 'container', 'terminals']","Cai, Binghuang, et al.",Robotics and Autonomous Systems 62.4 (2014): 506-514.,2014
22,22,2,A job grouping approach for planning container transfers at automated seaport container terminals,EpWRGVBqKUMJ,https://www.sciencedirect.com/science/article/pii/S147403461100005X,"This paper proposes a practical job grouping approach, which aims to enhance the time related performance metrics of container transfers in the Patrick AutoStrad container terminal, located in Brisbane, Australia. It first formulates a mathematical model of the …",no data,no data,29,4839516166845207826,5,4839516166845207826,"Yuan, Shuai, et al. ""A job grouping approach for planning container transfers at automated seaport container terminals."" Advanced Engineering Informatics 25.3 (2011): 413-426.","['job', 'grouping', 'approach', 'planning', 'container', 'transfers', 'automated', 'seaport', 'container', 'terminals']","Yuan, Shuai, et al.",Advanced Engineering Informatics 25.3 (2011): 413-426.,2011
23,23,2,Vision‐based operations of a large industrial vehicle: Autonomous hot metal carrier,qYO9uRinuAEJ,https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.20240,Hot metal carriers (HMCs) are large forklift‐type vehicles used to move molten metal in aluminum smelters. This paper reports on field experiments that demonstrate that HMCs can operate autonomously and in particular can use vision as a primary sensor to locate the load …,psu.edu,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.149.7102&rep=rep1&type=pdf,21,124032714389947305,7,124032714389947305,"Pradalier, Cédric, Ashley Tews, and Jonathan Roberts. ""Vision‐based operations of a large industrial vehicle: Autonomous hot metal carrier."" Journal of Field Robotics 25.4‐5 (2008): 243-267.","['vision‐based', 'operations', 'large', 'industrial', 'vehicle', 'autonomous', 'hot', 'metal', 'carrier']","Pradalier, Cédric, Ashley Tews, and Jonathan Roberts.",Journal of Field Robotics 25.4‐5 (2008): 243-267.,2008
24,24,2,Multiobjective optimization for autonomous straddle carrier scheduling at automated container terminals,VMBV4XdH5UEJ,https://ieeexplore.ieee.org/abstract/document/6290420/,"A multiobjective optimization model is presented in this paper for the Autonomous Straddle Carriers Scheduling (ASCS) problem in automated container terminals, which is more practical than the single objective model. The model considers three objectives [ie, Straddle …",no data,no data,20,4748279962339229780,4,4748279962339229780,"Cai, Binghuang, et al. ""Multiobjective optimization for autonomous straddle carrier scheduling at automated container terminals."" IEEE transactions on automation science and engineering 10.3 (2012): 711-725.","['multiobjective', 'optimization', 'autonomous', 'straddle', 'carrier', 'scheduling', 'automated', 'container', 'terminals']","Cai, Binghuang, et al.",IEEE transactions on automation science and engineering 10.3 (2012): 711-725.,2012
25,25,2,Joint human detection from static and mobile cameras,YCHl2T6Ih_4J,https://ieeexplore.ieee.org/abstract/document/6894232/,"Efficient pedestrian detection is a key aspect of many intelligent vehicles. In this context, vision-based detection has increased in popularity. Algorithms proposed often consider that the camera is mobile (on board a vehicle) or static (mounted on infrastructure). In contrast …",no data,no data,11,18340777811014656352,5,18340777811014656352,"Miseikis, Justinas, and Paulo Vinicius Koerich Borges. ""Joint human detection from static and mobile cameras."" IEEE Transactions on Intelligent Transportation Systems 16.2 (2014): 1018-1029.","['joint', 'human', 'detection', 'static', 'mobile', 'cameras']","Miseikis, Justinas, and Paulo Vinicius Koerich Borges.",IEEE Transactions on Intelligent Transportation Systems 16.2 (2014): 1018-1029.,2014
26,26,2,Mathematical modelling of container transfers for a fleet of autonomous straddle carriers,YwUbT48msNcJ,https://ieeexplore.ieee.org/abstract/document/5509706/,The main contribution of this paper is a mathematical model describing performance metrics for coordinating multiple mobile robots in a seaport container terminal. The scenario described here requires dealing with many difficult practical challenges such as the …,uts.edu.au,https://opus.lib.uts.edu.au/bitstream/10453/16435/1/2009006535.pdf,8,15541964711004931427,6,15541964711004931427,"Yuan, Shuai, et al. ""Mathematical modelling of container transfers for a fleet of autonomous straddle carriers."" 2010 IEEE International Conference on Robotics and Automation. IEEE, 2010.","['mathematical', 'modelling', 'container', 'transfers', 'fleet', 'autonomous', 'straddle', 'carriers']","Yuan, Shuai, et al.","2010 IEEE International Conference on Robotics and Automation. IEEE, 2010.",2010
27,27,2,Optimisation model and exact algorithm for autonomous straddle carrier scheduling at automated container terminals,41u81-rcTMAJ,https://ieeexplore.ieee.org/abstract/document/6094797/,"In this paper, an optimisation model based on Pickup and Delivery Problem with Time Windows (PDPTW), and an exact algorithm based on Branch-and-Bound with Column Generation (BBCG), are presented for Autonomous Straddle Carriers Scheduling (ASCS) …",no data,no data,7,13856693054712077283,6,13856693054712077283,"Cai, Binghuang, et al. ""Optimisation model and exact algorithm for autonomous straddle carrier scheduling at automated container terminals."" 2011 IEEE/RSJ International Conference on Intelligent Robots and Systems. IEEE, 2011.","['optimisation', 'model', 'exact', 'algorithm', 'autonomous', 'straddle', 'carrier', 'scheduling', 'automated', 'container', 'terminals']","Cai, Binghuang, et al.","2011 IEEE/RSJ International Conference on Intelligent Robots and Systems. IEEE, 2011.",2011
28,28,2,Port infrastructure and supply chain integration under the belt and road initiative: role of colombo port in the apparel industry in South Asia,hBKfFXCiy3cJ,https://www.sciencedirect.com/science/article/pii/S2352146520304415,"This paper analyzes the role of port infrastructure in supply chain integration of the South Asian apparel industry through a case study of Colombo Port. Key factors for improving supply chain integration are first identified, such as reducing lead time production …",sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S2352146520304415/pdf?md5=ebd006f609bebbbdf27e66e57c44b436&pid=1-s2.0-S2352146520304415-main.pdf,4,8632171713068470916,2,8632171713068470916,"Park, Yeonkyeong, and Rafiq Dossani. ""Port infrastructure and supply chain integration under the belt and road initiative: role of colombo port in the apparel industry in South Asia."" Transportation Research Procedia 48 (2020): 307-326.","['port', 'infrastructure', 'supply', 'chain', 'integration', 'belt', 'road', 'initiative', 'role', 'colombo', 'port', 'apparel', 'industry', 'south', 'asia']","Park, Yeonkyeong, and Rafiq Dossani.",Transportation Research Procedia 48 (2020): 307-326.,2020
29,29,2,Blockchain applications and architectures for port operations and logistics management,U_RW57CJHoYJ,https://www.sciencedirect.com/science/article/pii/S2210539521000031,"Efficient port logistic operations and management are critical for global trade and transportation services. The current port logistic handling systems are highly centralized and offer limited opportunities for collaboration among diverse stakeholders. Moreover, existing …",no data,no data,7,9664313243272148051,3,9664313243272148051,"Ahmad, Raja Wasim, et al. ""Blockchain applications and architectures for port operations and logistics management."" Research in Transportation Business & Management (2021): 100620.","['blockchain', 'applications', 'architectures', 'port', 'operations', 'logistics', 'management']","Ahmad, Raja Wasim, et al.",Research in Transportation Business & Management (2021): 100620.,2021
30,30,3,Container terminal operation and operations research-a classification and literature review,PAQmVwh_y0cJ,https://link.springer.com/article/10.1007/s00291-003-0157-z,In the last four decades the container as an essential part of a unit-load-concept has achieved undoubted importance in international sea freight transportation. With ever increasing containerization the number of seaport container terminals and competition …,academia.edu,https://www.academia.edu/download/51014901/ContainerTerminalOperations.pdf,1736,5173368270763721788,20,5173368270763721788,"Steenken, Dirk, Stefan Voß, and Robert Stahlbock. ""Container terminal operation and operations research-a classification and literature review."" OR spectrum 26.1 (2004): 3-49.","['container', 'terminal', 'operation', 'operations', 'researcha', 'classification', 'literature', 'review']","Steenken, Dirk, Stefan Voß, and Robert Stahlbock.",OR spectrum 26.1 (2004): 3-49.,2004
31,31,3,A simulation model for integrating quay transport and stacking policies on automated container terminals,vQAswTgVsX0J,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.29.1732&rep=rep1&type=pdf,"In order to accommodate the growth in intercontinental container transport, port facilities have to be up-scaled drastically. One of the major challenges is to double the capacity of the marine operation on a container terminal. In this study the model of a quay transport system …",psu.edu,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.29.1732&rep=rep1&type=pdf,104,9057043659122016445,5,9057043659122016445,"Duinkerken, Mark B., Joseph JM Evers, and Jaap A. Ottjes. ""A simulation model for integrating quay transport and stacking policies on automated container terminals."" Proceedings of the 15th european simulation multiconference. San Diego, CA, USA, 2001.","['simulation', 'model', 'integrating', 'quay', 'transport', 'stacking', 'policies', 'automated', 'container', 'terminals']","Duinkerken, Mark B., Joseph JM Evers, and Jaap A. Ottjes.","Proceedings of the 15th european simulation multiconference. San Diego, CA, USA, 2001.",2001
32,32,3,An approach for designing robotized marine container terminals,swMy2X1luzQJ,https://www.narcis.nl/publication/RecordID/oai:tudelft.nl:uuid:62f69bbe-df26-4570-a490-cd10e038cb92,"International transportation is rapidly growing. Even during the recent recession, trade growth percentages world-wide exceeded 5-10%. As a consequence, container handling capacity is rapidly growing as well. Larger vessels, bigger container terminals: it appears to …",narcis.nl,https://www.narcis.nl/publication/RecordID/oai:tudelft.nl:uuid:62f69bbe-df26-4570-a490-cd10e038cb92,94,3799742301806396339,3,3799742301806396339,"Saanen, Yvo André. ""An approach for designing robotized marine container terminals."" (2004).","['approach', 'designing', 'robotized', 'marine', 'container', 'terminals']","Saanen, Yvo André.",(2004).,2004
33,33,3,Distributed agent architecture for port automation,FcThyCxwIxwJ,https://ieeexplore.ieee.org/abstract/document/1044537/,"In the near future, container ports will no longer be able to expand into the surrounding land and will thus be unable to meet the storage requirements due to the boom in world trade. A solution to this problem is to increase the container throughput of the port by reducing the …",psu.edu,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.646.9542&rep=rep1&type=pdf,89,2027587594897966101,10,2027587594897966101,"Thurston, Tom, and Huosheng Hu. ""Distributed agent architecture for port automation."" Proceedings 26th Annual International Computer Software and Applications. IEEE, 2002.","['distributed', 'agent', 'architecture', 'port', 'automation']","Thurston, Tom, and Huosheng Hu.","Proceedings 26th Annual International Computer Software and Applications. IEEE, 2002.",2002
34,34,3,Deadlock prevention for automated guided vehicles in automated container terminals,NKeO54PGrhAJ,https://link.springer.com/chapter/10.1007/978-3-540-49550-5_12,"Automated guided vehicles (AGVs) are an important component for automating container terminals. When utilizing AGVs to transport containers from one position to another in a container terminal, deadlocks are a serious problem that must be solved before real …",poltekpel-sby.ac.id,https://library.poltekpel-sby.ac.id/apps/uploaded_files/temporary/DigitalCollection/MTZiY2RlM2QxZDE2NDQwMDEwYjc0ODNlYjkwMzRmOWI1ZTc0MDkyOA==.pdf#page=243,80,1202116420382402356,13,1202116420382402356,"Kim, Kap Hwan, Su Min Jeon, and Kwang Ryel Ryu. ""Deadlock prevention for automated guided vehicles in automated container terminals."" Container Terminals and Cargo Systems. Springer, Berlin, Heidelberg, 2007. 243-263.","['deadlock', 'prevention', 'automated', 'guided', 'vehicles', 'automated', 'container', 'terminals']","Kim, Kap Hwan, Su Min Jeon, and Kwang Ryel Ryu.","Container Terminals and Cargo Systems. Springer, Berlin, Heidelberg, 2007. 243-263.",2007
